二桁[56, 36, 12, 11, 59, 17, 39, 33, 27, 58]
三桁[407, 587, 474, 794, 933, 158, 778, 520, 687, 167]
四桁[5527, 1333, 5378, 2710, 2729, 6473, 9629, 1524, 7390, 6184]
五桁[12203, 81753, 16459, 35530, 90325, 33465, 21141, 25783, 63708, 28945]
六桁[159306, 358230, 976622, 700239, 904539, 818938, 702787, 740686, 684339, 414140]
七桁[2277184, 7191307, 4433643, 7351121, 3433281, 1302771, 6438447, 8116061, 4253506, 3084525]
八桁[48408597, 72902473, 22928293, 81713039, 47886800, 26986808, 21193934, 90722609, 28222827, 60144549]
九桁[884031133, 756478390, 607167174, 250246522, 712153671, 178192090, 717470180, 740030696, 844120519, 866228200]
十桁[6551115669, 8582509983, 2609759231, 1285279404, 7500259400, 5082338180, 4613421640, 8373629063, 6440569688, 2951942966]
十一桁[58657738109, 69233338708, 12098698210, 47979616607, 82118512523, 73994720107, 16895088823, 93884052316, 22443182902, 17666165118]
十二桁[386960835083, 365798527250, 517471019278, 499933401049, 330225400963, 726196797439, 888591057512, 747593360897, 610404781612, 191906800406]
十三桁[3750219787464, 2993271985637, 4436371346966, 7288746354481, 6189098069455, 1444481439935, 4113444752349, 8848956360785, 8797982077832, 4570578034121]
十四桁[40731646641663, 10289075023384, 83630292384222, 10660839590307, 23527112958837, 37711186912829, 46533096420255, 45318196727024, 48063087467170, 73578015697577]
十五桁[986816780298893, 149905750707557, 994029560325400, 202756439007774, 869398638044351, 724440921035281, 761521224539855, 782725058041512, 245356006159594, 177401012314712]
十六桁[4790119654730171, 7129306115736802, 1241761912703280, 7550331089907205, 2131259906625978, 4546408705743689, 6709762437885734, 9210777554818855, 8908327805886148, 1861799899073698]
十七桁[88912860155590808, 46908414333843365, 11372171769344511, 31361298271525633, 45891541598538145, 31530983764422561, 57707015269063458, 52807736067600221, 44915132098602237, 54398225732583563]
十八桁[247192327050274193, 358689126840336640, 290862089311549079, 965358169939008886, 642313396585171970, 232097831700027332, 662700174502716070, 162332283014694861, 713913803035672908, 109501989758139729][247192327050274193, 358689126840336640, 290862089311549079, 965358169939008886, 642313396585171970, 232097831700027332, 662700174502716070, 162332283014694861, 713913803035672908, 109501989758139729]
十九桁[8500280710221984903, 2251152141758582532, 9927698421784758882, 1965000688479714572, 8630089438889644693, 5468496382529379184, 4024281353370761575, 9183871678774895082, 9617535542692091392, 7615365447404397593]
二十桁[40870030436334024390, 13756535875062971950, 54876874244326573056, 92705067480639310412, 55670212451072234080, 36761737924317384808, 91312697497742200261, 62720318431769528151, 75272762874263063662, 85121856190682323922]
二十一桁[229732546792288041038, 680335006177226460561, 536818544845842987118, 873965523144522564882, 257138428634500569160, 567954680233403410387, 260896283786648504589, 120402449012501350071, 979459148553286246341, 143284229290781980044]
二十二桁[3695638044001290131644, 8264241594390791991969, 5042105638705174461891, 7973797409441615658749, 8695884010421266885755, 4759914308126274467744, 9952328368036794764138, 2711901488011350587804, 2046357438494779985421, 5108181026435989782829]
二十三桁[50691666622313779190900, 52226491521170320469678, 79448157498184224487110, 34466580755118662870141, 56291710024772732085864, 89934532566900872267153, 63509610345119388922272, 47472801072844600048059, 33058835157274953780686, 34159497964405624362361]
二十四桁[554321399969079306434924, 204689712374894827879074, 803941642038585064754301, 103057956856525591833425, 988632241191823866876929, 690753652460665886294317, 926723415142478087126861, 166933437731527273389530, 160455507577883045995557, 653170855977116344814489]
二十五桁[5179510720647862109750565, 8587739791988468301655724, 7748336156048232695408942, 6250850765464677704300814, 9757111533118420229288857, 5510818350328969576369069, 8015673939654350983800061, 9649232678278445646466696, 7058865620447406599569128, 1073936415529192398011811]
二十六桁[68642195448637577129534579, 11699750684850381155305009, 20224605273284787266562961, 83951973188116190217695852, 50914254985574426923876012, 89785765232579943807965776, 75386559896029302033841881, 72618937929088247543137993, 10165906767933062686336306, 63083635422591607246424279]
二十七桁[544610397199104259274162487, 994656398305954113462846878, 763988522932674808482734723, 340126416408487330986533723, 112681333931315709206173268, 736527548701076316776460891, 519806668620855908251279084, 360019977607911301958034971, 626381846933764316998930906, 211048799700490446586067675]
二十八桁[4388053245636775456480386522, 5935956965840289287252927907, 4516046691460519078420831045, 3804798238223460187827941120, 9912646777804553784797799110, 6274107998324309560745508688, 4789971907130400172941420719, 2346924528587087873106747887, 3483698309252883038349673932, 6771874569602543490301458531]
二十九桁[19426147548858583992113328623, 81391499085414642051930229410, 46581650067209854465639166200, 67929564507101958174307829986, 95233087777202208404438071354, 92878538494268524467976001587, 29174978116885783356814120302, 57361425742173408684363409962, 66155735383470679437600398473, 73204593282917151161186936503]
三十桁[407914583634960295222931118586, 473397770591650069136846223340, 424882104402686471973352156184, 139921879934955185295903885273, 194594663712571505985448891546, 646965760884676255645833638116, 965151595266311535876296328467, 597767166207327879349995711516, 465158256744829363411991364121, 880014428179929034368862523092]
四十桁[7452641575733096377831012509729807069401, 9626092754989582180773719507233304035721, 8444982628047797702426390880178840364570, 7973781803718232925617832217255483702218, 9715054984262784618847964163534120095375, 3561397340928931393243258118819656791212, 7848627123764950725122114631213855437991, 9848279857245830239198961022679635334840, 1993840362063511796107553889510608836862, 1120702817392986971744606488454732698564]
