2桁 [55, 79, 60, 30, 13, 93, 10, 88, 85, 56, 99, 62, 63, 27, 17, 80, 57, 47, 67, 87, 74, 31, 69, 64, 51, 43, 26, 19, 71, 54, 29, 68, 34, 52, 53, 70, 58, 91, 23, 32, 40, 86, 14, 38, 77, 82, 94, 49, 33, 39]
3桁 [409, 976, 998, 548, 180, 820, 652, 638, 858, 785, 339, 160, 482, 712, 563, 337, 124, 885, 132, 583, 235, 206, 972, 139, 173, 221, 185, 222, 915, 240, 875, 184, 964, 311, 995, 722, 795, 404, 891, 594, 664, 159, 470, 315, 537, 957, 531, 904, 209, 473]
4桁 [6817, 7322, 3243, 8796, 5939, 3572, 9395, 2178, 4661, 8194, 2630, 4816, 2746, 7153, 8366, 8002, 3557, 5108, 5226, 5014, 9850, 1641, 8469, 3761, 9442, 8281, 2553, 6326, 8231, 2453, 9125, 9650, 2113, 9563, 5341, 1431, 1215, 1804, 6683, 1891, 5579, 2637, 4370, 2069, 2962, 4544, 9083, 1318, 7282, 5031]
5桁 [54982, 31217, 32029, 89459, 15761, 21378, 71815, 55804, 84962, 53196, 99309, 11861, 87872, 17881, 38180, 71798, 46461, 60848, 17696, 53074, 10044, 26274, 76231, 10373, 18262, 89328, 57045, 49622, 41437, 57931, 70672, 74484, 61311, 59782, 53858, 55644, 19166, 60890, 98158, 64277, 60193, 61889, 51265, 95463, 80910, 95451, 24617, 36960, 82547, 16966]
6桁 [601145, 879441, 536769, 445987, 303942, 736536, 338360, 762618, 544744, 373091, 430444, 298849, 556283, 666277, 831869, 170329, 187684, 986033, 181254, 684024, 597028, 110170, 207155, 516667, 636290, 346835, 620660, 517252, 271611, 489480, 905810, 943315, 474768, 817337, 152759, 322251, 758103, 392267, 942956, 675545, 592633, 258156, 149676, 715224, 428940, 777816, 514104, 599976, 622984, 135116]
7桁 [9564283, 3911461, 6621356, 2478663, 2579613, 9807028, 3848677, 2252624, 6776473, 2511665, 6029561, 9309797, 4626943, 7084822, 9105590, 2631767, 7694254, 3705712, 7475979, 7303757, 2776636, 7136357, 5655133, 1341533, 8590736, 8355967, 4887662, 5453294, 2542213, 4321480, 5629364, 2886755, 3959791, 7781411, 1272342, 8273322, 6553371, 3403910, 8335580, 5856150, 3312615, 6235898, 2027834, 1837606, 2343088, 8597744, 3036124, 7183339, 8853428, 7304823]
8桁 [37752223, 13080754, 29771942, 70026120, 68528402, 64929826, 65968839, 96333404, 22109985, 64608355, 78446436, 76624478, 55061326, 68974405, 52681467, 27047782, 50713150, 85752403, 68997279, 94539832, 93898383, 97834705, 69940387, 67438933, 23166165, 98239758, 79337379, 95384020, 23663283, 31710458, 97121165, 86956213, 90618024, 13305549, 49669012, 29040647, 55341254, 16336847, 23826383, 37407138, 17892334, 58052285, 21454329, 74362660, 65670017, 45709568, 83286885, 45337094, 24199849, 79213472]
9桁 [287089518, 915478430, 831533164, 277409170, 878809735, 610890903, 975579786, 434761783, 727205213, 540851901, 282024906, 120619125, 226878809, 234057685, 223230135, 537141800, 428356997, 401638800, 673259558, 271043742, 518858134, 908493375, 441281786, 623108672, 652862044, 543454952, 137900445, 693553243, 676137896, 964131378, 398734982, 474726898, 968244408, 407374255, 819073759, 472338634, 756965977, 688106433, 673016669, 718195326, 744909703, 745541611, 459730986, 822909688, 708810044, 284869665, 853485684, 485325997, 493845100, 850298990]
10桁 [3425907833, 8495774649, 7986791990, 7318821892, 9257852133, 6190823778, 2818249654, 7439399748, 7827238702, 5515566668, 7162301905, 7471575758, 2047136503, 1008145182, 6095370062, 8072055160, 2562719448, 8214441875, 4677576379, 8287993711, 5311119602, 8835887861, 5697397051, 3559911670, 6777089397, 9049776977, 3810145610, 6417261410, 6582904175, 3750174586, 8243292167, 5638952474, 2427663227, 4210996757, 5153241880, 7305128129, 7272061506, 5308404949, 1251243837, 8858622737, 5553881163, 1881952135, 4895799811, 3981252343, 1185464104, 9986390871, 3623608609, 6022510362, 5102975936, 4612908185]
11桁 [57907555309, 43941465591, 30110692147, 63760637385, 61910189449, 31019346998, 16586909240, 51400288975, 73353488000, 99263583601, 68821705730, 42808118564, 88384520699, 68193154204, 73271159527, 76932080971, 62436856448, 75444442405, 78692384842, 76041367853, 14577566120, 63611446624, 57089542944, 58780432778, 43287867896, 66976602938, 80580046428, 93873081160, 51602374614, 26323700304, 13486876009, 96309939891, 72186030391, 88690434931, 51875240802, 84748925237, 96201661611, 56144858813, 59925340704, 33573294574, 43452651549, 91699831481, 94968294677, 86533009837, 62934629889, 79220631268, 91715939223, 82539983320, 88196689046, 45532228214]
